Date,총거래물량,총거래금액,평균단가,평균단가 편차,지역,작물명
2020-03-01,174813.0,207078050,1184.5689393809384,-367.2797921035618,서울,양파
2020-04-01,10802310.0,9554894100,884.5232269764523,-67.23407969907566,서울,양파
2020-05-01,12249069.0,8503744300,694.2359700969927,123.05317718038395,서울,양파
2020-06-01,781199.0,455898080,583.587639001074,233.70150827630263,서울,양파
2020-07-01,793879.0,539105400,679.0775420435608,138.21160523381582,서울,양파
2020-08-01,718992.0,694468576,965.891937601531,-148.6027903241544,서울,양파
2020-09-01,701246.0,726125760,1035.4793610230931,-218.1902137457165,서울,양파
2020-10-01,725315.0,807608520,1113.4590074657217,-296.16986018834507,서울,양파
2020-11-01,726494.0,857726100,1180.63755516219,-363.34840788481335,서울,양파
2020-12-01,612715.0,724541200,1182.5093232579584,-365.22017598058176,서울,양파
2021-01-01,521879.0,822796200,1576.6033889081568,-769.3089675215875,서울,양파
2021-02-01,351818.0,623866800,1773.2657226179444,-965.9713012313752,서울,양파
2021-03-01,1945804.0,2623923710,1348.5036057074608,-541.2091843208915,서울,양파
2021-04-01,14523344.0,12452281159,857.3976598640093,-50.10323847743996,서울,양파
2021-05-01,12948438.0,7098404462,548.205464010408,259.08895737616126,서울,양파
2021-06-01,797383.5,573549057,719.2888453297567,88.00557605681263,서울,양파
2021-07-01,569891.7,470523417,825.636549891848,-18.34212850527865,서울,양파
2021-08-01,624538.4,626516843,1003.1678484461484,-195.87342705957903,서울,양파
2021-09-01,858831.2,930574331,1083.5357762969022,-276.2413549103329,서울,양파
2021-10-01,682892.8,743638258,1088.9531387649715,-281.65871737840223,서울,양파
2021-11-01,734016.8,817446105,1113.6613017576708,-306.3668803711015,서울,양파
2021-12-01,479661.4,502864273,1048.3734421823394,-241.07902079577013,서울,양파
2022-01-01,554212.0,404150622,729.2347008004157,-26.86652979344933,서울,양파
2022-02-01,681493.0,446578247,655.2939604662117,47.07421054075462,서울,양파
2022-03-01,1089965.2,721104190,661.5845992147273,40.78357179223906,서울,양파
2022-04-01,9478396.0,5559533618,586.5479368028092,115.82023420415716,서울,양파
2022-05-01,12833453.6,6805685476,530.3081842287565,172.0599867782098,서울,양파
2022-06-01,902102.6,1013885385,1123.9136047274446,-421.5454337204783,서울,양파
2022-07-01,745084.1,924896830,1241.3321261318015,-538.9639551248351,서울,양파
2022-08-01,619744.6,812535552,1311.081293810386,-608.7131228034195,서울,양파
2022-09-01,625875.3,903308171,1443.271800309103,-740.9036293021366,서울,양파
2022-10-01,653065.7999999999,1027635583,1573.5559617422932,-871.1877907353269,서울,양파
2022-11-01,611673.4,946904745,1548.0561113169215,-845.6879403099551,서울,양파
2022-12-01,691443.1,1144166766,1654.7518747385,-952.3837037315336,서울,양파
2023-01-01,386120.8,555729363,1439.262953459125,-294.81302049921214,서울,양파
2023-02-01,582112.8,948151679,1628.8109091571257,-484.36097619721295,서울,양파
2023-03-01,1774989.4,2309334967,1301.0415538256173,-156.5916208657045,서울,양파
2023-04-01,8350806.4,9295434408,1113.1181783833474,31.331754576565345,서울,양파
2023-05-01,7449548.1,7943634387,1066.3243300623833,78.12560289752946,서울,양파
2023-06-01,799180.3,1017171085,1272.767966127293,-128.31803316738024,서울,양파
2023-07-01,555777.4,698029261,1255.9511433894218,-111.501210429509,서울,양파
2023-08-01,40878.0,52174950,1276.35769851754,-131.90776555762727,서울,양파
2020-01-01,1242260.0,996253350,801.968468758553,18.11697892647146,부산,양파
2020-02-01,1262447.0,1200651900,951.0513312638076,-130.96588357878318,부산,양파
2020-03-01,1199742.8,1052491300,877.2641102743021,-57.17866258927768,부산,양파
2020-04-01,356549.0,263060050,737.7949454352697,82.2905022497547,부산,양파
2020-05-01,803859.0,467878100,582.0400095041543,238.0454381808701,부산,양파
2020-06-01,2153064.0,1091602000,506.9993274700613,313.0861202149631,부산,양파
2020-07-01,1379506.2,859871630,623.3184236504338,196.7670240345905,부산,양파
2020-08-01,1244951.4,1006470210,808.4413656629488,11.644082022075622,부산,양파
2020-09-01,1434226.0,1294616900,902.6589254413182,-82.57347775629376,부산,양파
2020-10-01,1190929.0,1151253000,966.6848317573928,-146.59938407236837,부산,양파
2020-11-01,1204207.5,1300287900,1079.7872459688217,-259.7017982837973,부산,양파
2020-12-01,1202874.5,1350003020,1122.3141067501224,-302.228659065098,부산,양파
2021-01-01,929656.0,1336836100,1437.9900737477087,-592.2084259775115,부산,양파
2021-02-01,755296.0,1242097200,1644.5171164682456,-798.7354686980484,부산,양파
2021-03-01,661167.2,948880750,1435.1600472618727,-589.3783994916755,부산,양파
2021-04-01,279887.8,196434770,701.8339849039509,143.94766286624633,부산,양파
2021-05-01,768062.0,365311350,475.6274233069726,370.1542244632246,부산,양파
2021-06-01,708322.0,338739500,478.22812223819113,367.55352553200606,부산,양파
2021-07-01,1288542.0,681556700,528.9363482137176,316.84529955647963,부산,양파
2021-08-01,1345408.0,912562900,678.2796742698126,167.50197350038457,부산,양파
2021-09-01,1234016.0,996077930,807.1839668205274,38.59768094966978,부산,양파
2021-10-01,1212757.0,958038500,789.9674048469726,55.81424292322458,부산,양파
2021-11-01,1176552.0,914646000,777.3953042449463,68.38634352525094,부산,양파
2021-12-01,624220.0,398787500,638.8572939027907,206.92435386740647,부산,양파
2022-01-01,1675200.0,903436700,539.300799904489,349.00834726859364,부산,양파
2022-02-01,1166486.0,472535300,405.09298868567646,483.21615848740623,부산,양파
2022-03-01,1474692.0,456234000,309.375788300201,578.9333588728816,부산,양파
2022-04-01,503553.4,170953710,339.4946990726306,548.8144481004521,부산,양파
2022-05-01,347183.8,232206200,668.8278658163198,219.4812813567629,부산,양파
2022-06-01,1849438.0,1748019600,945.1625845256776,-56.85343735259494,부산,양파
2022-07-01,1177002.9,1233083700,1047.6471213452403,-159.3379741721576,부산,양파
2022-08-01,1222928.0,1425984300,1166.0410915442285,-277.7319443711458,부산,양파
2022-09-01,989368.0,1244557260,1257.9315886505324,-369.6224414774497,부산,양파
2022-10-01,1169772.0,1536102500,1313.1640182873243,-424.8548711142416,부산,양파
2022-11-01,1083313.5,1416027430,1307.1261735407156,-418.8170263676329,부산,양파
2022-12-01,1019050.0,1311140800,1286.6304891811,-398.3213420080174,부산,양파
2023-01-01,790780.0,976412800,1234.746452869319,-210.0442474077117,부산,양파
2023-02-01,796796.5,1044297400,1310.6199638176122,-285.9177583560049,부산,양파
2023-03-01,873448.6,1108022810,1268.5609777152313,-243.858772253624,부산,양파
2023-04-01,81980.6,74042580,903.1719699538672,121.53023550774004,부산,양파
2023-05-01,1339554.0,1408339100,1051.3492550505616,-26.64704958895436,부산,양파
2023-06-01,2043407.0,1634258000,799.771166488125,224.93103897348223,부산,양파
2023-07-01,1155832.0,1023410400,885.4317928557091,139.27041260589817,부산,양파
2023-08-01,259857.1,254227800,978.3369398026838,46.36526565892348,부산,양파
2020-01-01,2276705.7,1806728300,793.5712990923683,-1.3026881733371738,대구,양파
2020-02-01,2582537.8,2550122300,987.4481992093204,-195.1795882902892,대구,양파
2020-03-01,2244144.0,1920156900,855.6299863110389,-63.361375392007744,대구,양파
2020-04-01,1166191.4,916842350,786.1851407924978,6.083470126533371,대구,양파
2020-05-01,996047.7,550908400,553.0943949772687,239.17421594176244,대구,양파
2020-06-01,7498033.7,3625737800,483.5584828059655,308.71012811306565,대구,양파
2020-07-01,3718600.2,2184632300,587.4878132906033,204.78079762842788,대구,양파
2020-08-01,3346878.8,2618695900,782.4292591652857,9.839351753745518,대구,양파
2020-09-01,3286783.9,2954752200,898.9797595150688,-106.71114859603767,대구,양파
2020-10-01,2975553.1,3006966500,1010.557163305202,-218.2885523861709,대구,양파
2020-11-01,2960735.5,3191115000,1077.8115775623996,-285.54296664336846,대구,양파
2020-12-01,2907084.4,3162763700,1087.950422079249,-295.68181116021776,대구,양파
2021-01-01,2247511.1,3399847400,1512.7166224006637,-654.2621806333672,대구,양파
2021-02-01,2257408.7,3834908500,1698.810011674005,-840.3555699067084,대구,양파
2021-03-01,3044932.5,4622783900,1518.1892866262224,-659.7348448589258,대구,양파
2021-04-01,728366.0,520110560,714.0785813725518,144.3758603947448,대구,양파
2021-05-01,193373.0,98795200,510.9048315948969,347.54961017239964,대구,양파
2021-06-01,3775422.000000001,1739275100,460.68362688992113,397.7708148773754,대구,양파
2021-07-01,3736560.000000001,1831847200,490.24964138137744,368.2048003859191,대구,양파
2021-08-01,2897080.2,1829727300,631.576336754502,226.8781050127945,대구,양파
2021-09-01,2670273.6,2054912300,769.5512175231783,88.90322424411829,대구,양파
2021-10-01,3223972.3,2483517700,770.3284857627344,88.12595600456211,대구,양파
2021-11-01,3864607.9,2880747200,745.4177175386926,113.03672422860392,대구,양파
2021-12-01,2435936.5,1380380400,566.6733923482817,291.78104941901483,대구,양파
2022-01-01,4018571.9,1845401000,459.2181117874238,291.3461538076885,대구,양파
2022-02-01,3764584.2,1300104500,345.35142021793536,405.212845377177,대구,양파
2022-03-01,6176011.3,1543838080,249.9733250164228,500.5909405786896,대구,양파
2022-04-01,4136933.9,1717492020,415.1606144831079,335.40365111200447,대구,양파
2022-05-01,3277520.5,1876707900,572.5998967817287,177.96436881338366,대구,양파
2022-06-01,5908156.5,5294131200,896.0715918747244,-145.50732627961202,대구,양파
2022-07-01,3459955.9000000004,3712494300,1072.9889071707532,-322.42464157564086,대구,양파
2022-08-01,3057455.0,3492631800,1142.333018801585,-391.76875320647264,대구,양파
2022-09-01,2547354.7,2941751000,1154.8258277498614,-404.2615621547491,대구,양파
2022-10-01,1863559.4,2392707400,1283.9447993983986,-533.3805338032862,대구,양파
2022-11-01,2387673.5,3127018400,1309.6507541755605,-559.0864885804481,대구,양파
2022-12-01,2482025.0,3089882200,1244.9037378753237,-494.33947228021134,대구,양파
2023-01-01,1910237.0,2211694000,1157.81130823034,-128.6980822678031,대구,양파
2023-02-01,2058188.0,2606771900,1266.537313403829,-237.42408744129216,대구,양파
2023-03-01,2741209.6,3416548800,1246.365400150357,-217.25217418781995,대구,양파
2023-04-01,3540027.6,4043867400,1142.3265174542707,-113.2132914917338,대구,양파
2023-05-01,5643002.0,6280945100,1113.0503054934236,-83.93707953088665,대구,양파
2023-06-01,7065024.3,5618828600,795.3020911761054,233.8111347864316,대구,양파
2023-07-01,3290949.4,2851011000,866.3186981847853,162.79452777775168,대구,양파
2023-08-01,436725.0,432593100,990.538897475528,38.57432848700898,대구,양파
2020-01-01,2946856.0,2380499400,807.8098828039103,84.70553430798554,대전,양파
2020-02-01,2820738.0,2802490210,993.5308454737732,72.93711427918515,대전,양파
2020-03-01,2691912.0,2660264800,988.2435978590682,59.16904486164469,대전,양파
2020-04-01,4174226.0,3602379110,863.005287686867,77.3529996682604,대전,양파
2020-05-01,4766306.0,3248563300,681.5683466399346,215.7677810272228,대전,양파
2020-06-01,4356519.0,2261576300,519.124626794925,369.9136537791149,대전,양파
2020-07-01,2959013.0,1816877600,614.0147407260462,254.0459223442682,대전,양파
2020-08-01,2911063.0,2466167500,847.1707757612941,41.014741547781,대전,양파
2020-09-01,3411461.5,3134352000,918.7710311255162,-127.76392736891432,대전,양파
2020-10-01,2938468.0,3081357600,1048.6272438563224,-195.3861814565587,대전,양파
2020-11-01,3515196.0,3968459200,1128.943933709529,-212.1913746415314,대전,양파
2020-12-01,2785443.0,3115211700,1118.3900370605322,-244.63460306794207,대전,양파
2021-01-01,2343256.0,3565849500,1521.7498642913963,-589.3873936261222,대전,양파
2021-02-01,1737419.0,3041920100,1750.8270025825664,-729.7244278621871,대전,양파
2021-03-01,2439082.5,3707964750,1520.2293280362596,-368.9272265968679,대전,양파
2021-04-01,4722515.0,3787219700,801.949744998163,105.03152577934134,대전,양파
2021-05-01,5510565.0,2890502400,524.5383005190938,320.1440016490393,대전,양파
2021-06-01,4030881.5,2113373000,524.2954921894876,305.9460485049574,대전,양파
2021-07-01,3025009.5,1617749800,534.7916428031052,304.6148829988938,대전,양파
2021-08-01,2964676.0,2159050040,728.2583459372963,188.8067087664232,대전,양파
2021-09-01,2720970.0,2228189125,818.895145848723,77.58231530850674,대전,양파
2021-10-01,3172462.0,2644086610,833.4494187794842,98.2482724381564,대전,양파
2021-11-01,3896148.0,3072026600,788.4779017634854,42.17925914007003,대전,양파
2021-12-01,2550841.0,1636988367,641.7445724762931,170.16791193489928,대전,양파
2022-01-01,3605899.0,1844142200,511.4236976687367,308.7329657370067,대전,양파
2022-02-01,2765639.0,1111762660,401.9912432533675,378.024072888674,대전,양파
2022-03-01,4186164.0,1290384588,308.2498889197843,351.5882488729628,대전,양파
2022-04-01,3579915.0,1577995981,440.7914659984944,327.3528318117232,대전,양파
2022-05-01,3891725.0,2105255799,540.9569789746192,330.09873889925603,대전,양파
2022-06-01,4217625.0,4238314228,1004.9054214160814,6.309375305758067,대전,양파
2022-07-01,2472810.0,2783431800,1125.6149077365426,-176.89634067133136,대전,양파
2022-08-01,3107494.0,3590670520,1155.4875150201417,-372.0329020915017,대전,양파
2022-09-01,2564586.0,3267469100,1274.0727353264815,-368.403421171796,대전,양파
2022-10-01,2193818.0,2883024450,1314.1584443194467,-393.91967247945536,대전,양파
2022-11-01,2866767.0,3676600850,1282.4902930723006,-494.5927559098054,대전,양파
2022-12-01,2212655.0,2752686400,1244.0648903692622,-494.4555964669749,대전,양파
2023-01-01,1902948.0,2352984400,1236.494323544311,-107.14422658610216,대전,양파
2023-02-01,2072374.0,2826128800,1363.7156227592125,-218.66298447001645,대전,양파
2023-03-01,2369876.0,3054423910,1288.8538936214384,-41.620399914030486,대전,양파
2023-04-01,3759014.0,4141226230,1101.6788524863168,117.7522153252877,대전,양파
2023-05-01,4742823.0,5000998880,1054.4350653608622,192.0617189093212,대전,양파
2023-06-01,4040330.0,3905283800,966.5754529951762,308.17524396152953,대전,양파
2023-07-01,2496337.0,2534741100,1015.3841809018572,170.8134265971447,대전,양파
2023-08-01,574548.0,584066200,1016.5664139462672,192.60722754720712,대전,양파
2020-01-01,148872.0,115049300,772.8068407759686,5.149675511201281,광주,양파
2020-02-01,40260.0,31587000,784.575260804769,-6.618744517599112,광주,양파
2020-03-01,504657.0,402889550,798.3433302223094,-20.38681393513957,광주,양파
2020-04-01,1195291.0,932517480,780.1593754156937,-2.202859128523869,광주,양파
2020-05-01,1391894.0,893240450,641.7445940567313,136.21192223043852,광주,양파
2020-06-01,1487141.0,725128050,487.5987213048393,290.3577949823306,광주,양파
2020-07-01,598335.0,361075100,603.4664527396859,174.49006354748394,광주,양파
2020-08-01,489549.0,399715600,816.4976335361731,-38.541117249003264,광주,양파
2020-09-01,616625.0,607546000,985.2763024528684,-207.3197861656986,광주,양파
2020-10-01,498386.0,524749900,1052.8985565405128,-274.9420402533429,광주,양파
2020-11-01,532759.0,569894300,1069.7037497254855,-291.7472334383157,광주,양파
2020-12-01,845840.0,932240000,1102.1469781518963,-324.19046186472644,광주,양파
2021-01-01,690580.0,980208400,1419.3987662544528,-612.1106826835786,광주,양파
2021-02-01,617715.0,963472200,1559.7358004905177,-752.4477169196435,광주,양파
2021-03-01,1575371.0,1888773100,1198.9385992251985,-391.6505156543243,광주,양파
2021-04-01,2628125.0,1905337660,724.9798468489893,82.3082367218849,광주,양파
2021-05-01,1963522.0,1001135800,509.8673709792913,297.42071259158286,광주,양파
2021-06-01,1273404.0,667346880,524.0653241233732,283.22275944750095,광주,양파
2021-07-01,368736.0,193732600,525.3964896294368,281.8915939414373,광주,양파
2021-08-01,438778.0,281346500,641.2046638619074,166.08341970896674,광주,양파
2021-09-01,698275.0,525402400,752.4290573198239,54.859026251050295,광주,양파
2021-10-01,597873.0,437501400,731.7631001901742,75.52498338069995,광주,양파
2021-11-01,550753.0,433900900,787.8321134882606,19.45597008261359,광주,양파
2021-12-01,492017.0,324654200,659.8434606934313,147.44462287744284,광주,양파
2022-01-01,1172827.0,606987600,517.5423144248896,179.24503859342065,광주,양파
2022-02-01,720011.0,322745800,448.25120727322224,248.536145745088,광주,양파
2022-03-01,1448787.0,687720400,474.68703128893344,222.1003217293768,광주,양파
2022-04-01,2313763.8,1154388700,498.92244835017306,197.8649046681372,광주,양파
2022-05-01,2213964.0,1098517000,496.1765412626402,200.61081175567,광주,양파
2022-06-01,2089036.5,1712938704,819.9659048561382,-123.17855183782795,광주,양파
2022-07-01,551926.0,553676500,1003.1716208332276,-306.3842678149174,광주,양파
2022-08-01,480430.0,575703200,1198.308182253398,-501.5208292350877,광주,양파
2022-09-01,282074.0,336987800,1194.6787013336923,-497.89134831538206,광주,양파
2022-10-01,434936.4,530707200,1220.1949526413516,-523.4075996230414,광주,양파
2022-11-01,452654.0,597896200,1320.8680360717017,-624.0806830533915,광주,양파
2022-12-01,472720.0,624335900,1320.730876628871,-623.9435236105609,광주,양파
2023-01-01,526705.0,641704300,1218.337209633476,-246.38349087761696,광주,양파
2023-02-01,421641.0,560721800,1329.8559675173904,-357.90224876153127,광주,양파
2023-03-01,1095213.5,1262576780,1152.8133829614044,-180.8596642055453,광주,양파
2023-04-01,2386697.0,2371042100,993.4407677220862,-21.48704896622712,광주,양파
2023-05-01,2428287.0,2231914500,919.1312641380528,52.82245461780633,광주,양파
2023-06-01,2215334.0,1778952500,803.0177390858444,168.93597967001472,광주,양파
2023-07-01,699448.0,657746600,940.3795564502292,31.574162305629898,광주,양파
2023-08-01,101906.0,93609400,918.5857555001668,53.3679632556923,광주,양파
2020-01-01,6810822.7,5465298750,802.4432569651241,18.231075571573,전국,양파
2020-02-01,6867684.8,6757211290,983.9140098567132,-163.23967732001609,전국,양파
2020-03-01,6815268.8,6242880600,916.0138481992084,-95.3395156625113,전국,양파
2020-04-01,17694567.4,15269693090,862.9593900102922,-42.28505747359509,전국,양파
2020-05-01,20207175.7,13664334550,676.2119928516285,144.46233968506863,전국,양파
2020-06-01,16275956.7,8159942230,501.34946783189713,319.32486470479995,전국,양파
2020-07-01,9449333.4,5761562030,609.7321140134604,210.94221852323665,전국,양파
2020-08-01,8711434.2,7185517786,824.8375205543078,-4.163188017610764,전국,양파
2020-09-01,9450342.4,8717392860,922.4420122597886,-101.76767972309152,전국,양파
2020-10-01,8328651.1,8571935520,1029.210542869301,-208.5362103326039,전국,양파
2020-11-01,8939392.0,9887482500,1106.0576043650397,-285.3832718283426,전국,양파
2020-12-01,8353956.9,9284759620,1111.420579629756,-290.74624709305897,전국,양파
2021-01-01,6732882.1,10105537600,1500.922999973518,-670.9831682535272,전국,양파
2021-02-01,5719656.7,9706264800,1697.0012903047136,-867.0614585847228,전국,양파
2021-03-01,9666357.2,13792326210,1426.838045049691,-596.8982133297001,전국,양파
2021-04-01,22882237.8,18861383849,824.2805626729393,5.659269047051566,전국,양파
2021-05-01,21383960.0,11454149212,535.6420986571243,294.29773306286654,전국,양파
2021-06-01,10585413.0,5432283537,513.1857903890949,316.7540413308959,전국,양파
2021-07-01,8988739.200000001,4795409717,533.4908055848366,296.4490261351542,전국,양파
2021-08-01,8270480.6,5809203583,702.4021775711559,127.53765414883492,전국,양파
2021-09-01,8182365.8,6735156086,823.1306507953971,6.809180924593761,전국,양파
2021-10-01,8889957.1,7266782468,817.4147958486774,12.525035871313436,전국,양파
2021-11-01,10222077.7,8118766805,794.2384164229157,35.70141529707507,전국,양파
2021-12-01,6582675.9,4243674740,644.6732004533293,185.2666312666616,전국,양파
2022-01-01,11026709.9,5604118122,508.2312106533246,261.63275823821897,전국,양파
2022-02-01,9098213.2,3653726507,401.5872596830332,368.2767092085104,전국,양파
2022-03-01,14375619.5,4699281258,326.89243465299006,442.9715342385535,전국,양파
2022-04-01,20012562.1,10180364029,508.6986852622933,261.16528362925027,전국,양파
2022-05-01,22563846.9,12118372375,537.0703155675109,232.79365332403268,전국,양파
2022-06-01,14966358.6,14007289117,935.9183146259772,-166.0543457344337,전국,양파
2022-07-01,8406778.9,9207583130,1095.2569634012857,-325.3929945097421,전국,양파
2022-08-01,8488051.6,9897525372,1166.053864705535,-396.1898958139915,전국,양파
2022-09-01,7009258.0,8694073331,1240.3699979370142,-470.50602904547065,전국,양파
2022-10-01,6315151.6,8370177133,1325.4119082430263,-555.5479393514828,전국,양파
2022-11-01,7402081.4,9764447625,1319.1489119533323,-549.2849430617888,전국,양파
2022-12-01,6877893.1,8922212066,1297.2304070849837,-527.3664381934401,전국,양파
2023-01-01,5516790.8,6738524863,1221.4573847897225,-151.49066160652637,전국,양파
2023-02-01,5931112.3,7986071579,1346.47114656723,-276.504423384034,전국,양파
2023-03-01,8854737.1,11150907267,1259.3154535327762,-189.3487303495801,전국,양파
2023-04-01,18118525.6,19925612718,1099.7369851109738,-29.77026192777771,전국,양파
2023-05-01,21603214.1,22865831967,1058.4458340854012,11.520889097794909,전국,양파
2023-06-01,16163275.6,13954493985,863.345668931117,206.62105425207915,전국,양파
2023-07-01,8198343.8,7764938361,947.1350007302694,122.83172245292668,전국,양파
2023-08-01,1413914.1,1416671450,1001.9501538318344,68.01656935136168,전국,양파
2020-01-01,9462928.5,9136197340,965.472510967403,509.39908327326816,서울,대파
2020-02-01,8754610.0,7387886850,843.885318706373,630.9862755342981,서울,대파
