Date,총거래물량,총거래금액,평균단가,평균단가 편차,지역,작물명
2020-03-01,9109415.0,6478744150,711.2140735711349,763.6575206695362,서울,대파
2020-04-01,8229718.0,6756209940,820.9527884187527,653.9188058219185,서울,대파
2020-05-01,7901230.0,9477792330,1199.5337852460946,275.33780899457656,서울,대파
2020-06-01,7914290.5,10485254220,1324.8508151172869,150.02077912338427,서울,대파
2020-07-01,8096983.1,10570971010,1305.5444082623812,169.3271859782899,서울,대파
2020-08-01,7364979.3,15393054610,2090.0336556275183,-615.1620613868472,서울,대파
2020-09-01,8882357.0,20153143600,2268.895924809147,-794.0243305684758,서울,대파
2020-10-01,8084234.0,18937973340,2342.581046021181,-867.7094517805099,서울,대파
2020-11-01,9074613.0,20620399360,2272.3172172741693,-797.4456230334981,서울,대파
2020-12-01,9257988.8,15235945860,1645.7079598108824,-170.83636557021123,서울,대파
2021-01-01,8241883.3,24222400650,2938.940017507892,-794.5110121936359,서울,대파
2021-02-01,7644953.0,33632029700,4399.246103932882,-2254.8170986186256,서울,대파
2021-03-01,8076544.0,35220387300,4360.824048008653,-2216.395042694397,서울,대파
2021-04-01,7029457.0,26378613030,3752.581889326587,-1608.1528840123306,서울,대파
2021-05-01,8101083.4,16244390960,2005.2121621164893,139.21684319776705,서울,대파
2021-06-01,7687400.4,6819742620,887.1324849945372,1257.296520319719,서울,대파
2021-07-01,6454223.0,4956262050,767.9099482617814,1376.5190570524749,서울,대파
2021-08-01,6683397.2,7546671760,1129.1670290073437,1015.2619763069126,서울,대파
2021-09-01,7442639.0,9982791605,1341.2973012663922,803.1317040478641,서울,대파
2021-10-01,8029655.4,9772609520,1217.064622723411,927.3643825908453,서울,대파
2021-11-01,8452599.4,11589320066,1371.0953894254114,773.3336158888449,서울,대파
2021-12-01,6280924.0,6900928250,1098.7122674944003,1045.716737819856,서울,대파
2022-01-01,9645522.4,11354502650,1177.1786098386956,232.2672984093836,서울,대파
2022-02-01,7432480.8,8506921300,1144.560144709691,264.8857635383881,서울,대파
2022-03-01,9665162.9,12859394450,1330.4891581289332,78.95675011914591,서울,대파
2022-04-01,8617125.1,8450791390,980.6973082008524,428.7486000472268,서울,대파
2022-05-01,8227212.5,10287507140,1250.424386145368,159.02152210271106,서울,대파
2022-06-01,8249497.2,11312882240,1371.3420303967132,38.10387785136595,서울,대파
2022-07-01,8376382.0,12935372840,1544.2673029954938,-134.82139474741462,서울,대파
2022-08-01,9278259.4,15246199060,1643.2175910063474,-233.7716827582683,서울,대파
2022-09-01,8742859.6,14312841800,1637.0892882690237,-227.6433800209445,서울,대파
2022-10-01,9014638.2,14432369020,1600.9925966856886,-191.54668843760945,서울,대파
2022-11-01,9249615.0,14069528730,1521.0934433487232,-111.64753510064406,서울,대파
2022-12-01,9760070.8,15997756760,1639.1025319201576,-229.65662367207847,서울,대파
2023-01-01,9411873.0,13232165810,1405.9014406590484,70.4679482345598,서울,대파
2023-02-01,9484701.0,15622096300,1647.0836877198342,-170.714298826226,서울,대파
2023-03-01,11354414.0,18530191920,1631.981352802531,-155.61196390892292,서울,대파
2023-04-01,9568274.0,10351729350,1081.880530386149,394.4888585074591,서울,대파
2023-05-01,9127647.0,14793088010,1620.6901964986157,-144.32080760500753,서울,대파
2023-06-01,8595882.0,11862270400,1379.9945601859122,96.374828707696,서울,대파
2023-07-01,8088550.5,12188833180,1506.9242851361316,-30.55489624252345,서울,대파
2023-08-01,2062984.0,3361455000,1629.4139944856577,-153.0446055920495,서울,대파
2020-01-01,1572788.4,1681745720,1069.2765282348216,274.68255630863405,부산,대파
2020-02-01,1647451.3,1372014542,832.8103792810142,511.1487052624415,부산,대파
2020-03-01,1696068.0000000002,1191287642,702.3820047309423,641.5770798125134,부산,대파
2020-04-01,1635385.5,1165127230,712.4480619401359,631.5110226033198,부산,대파
2020-05-01,1404740.2000000002,1513407423,1077.3575234765829,266.6015610668728,부산,대파
2020-06-01,1294017.8,1523764489,1177.5452308306733,166.41385371278238,부산,대파
2020-07-01,1416605.2999999998,1610149073,1136.625052158142,207.3340323853137,부산,대파
2020-08-01,1364894.9,2243148764,1643.4589681593798,-299.4998836159241,부산,대파
2020-09-01,1601332.2,3260979130,2036.416385057392,-692.4573005139364,부산,대파
2020-10-01,1338328.9,2740074341,2047.384870042036,-703.4257854985799,부산,대파
2020-11-01,1488844.8,3102720983,2083.978788789805,-740.0197042463494,부산,대파
2020-12-01,1606724.7,2877134044,1790.6826502387123,-446.72356569525664,부산,대파
2021-01-01,1300116.7000000002,3578470740,2752.4227171299312,-828.4155187611784,부산,대파
2021-02-01,959377.4,4073973768,4246.476692071337,-2322.4694937025843,부산,대파
2021-03-01,1205482.0,4634275402,3844.3339693168377,-1920.326770948085,부산,대파
2021-04-01,1163728.4,3693836410,3174.139610238953,-1250.1324118702005,부산,대파
2021-05-01,1138603.2000000002,2357520630,2070.537505954664,-146.53030758591126,부산,대파
2021-06-01,1146828.1,1083677740,944.9347639807568,979.072434387996,부산,대파
2021-07-01,1350836.7,1075480470,796.1587584939024,1127.8484398748506,부산,대파
2021-08-01,1299122.2,1394191370,1073.179543848916,850.8276545198369,부산,대파
2021-09-01,1437764.7000000002,1933119600,1344.5312713547632,579.4759270139896,부산,대파
2021-10-01,1523911.3,1864999980,1223.8244968719637,700.1827014967892,부산,대파
2021-11-01,1447457.1,1938582240,1339.3020352727551,584.7051630959977,부산,대파
2021-12-01,984994.5,1151599030,1169.1425992733969,754.864599095356,부산,대파
2022-01-01,1820387.3,2221817800,1220.5192818033831,196.4269952280553,부산,대파
2022-02-01,1289319.1,1490064160,1155.698507840301,261.2477691911374,부산,대파
2022-03-01,1604236.6,2223540070,1386.0424765274647,30.9038005039738,부산,대파
2022-04-01,1510132.0,1469025780,972.7797172697486,444.1665597616899,부산,대파
2022-05-01,1481816.2,1858340100,1254.0962232697957,162.8500537616428,부산,대파
2022-06-01,1391300.1,1832747480,1317.2912731049182,99.6550039265203,부산,대파
2022-07-01,1265998.6,1941609570,1533.658544330144,-116.71226729870546,부산,대파
2022-08-01,1428467.3,2633275420,1843.4271614057948,-426.48088437435626,부산,대파
2022-09-01,1507575.7999999998,2673865430,1773.6192302901122,-356.6729532586737,부산,대파
2022-10-01,1595430.4,2603641470,1631.9367300510255,-214.990453019587,부산,대파
2022-11-01,1652117.19,2361005330,1429.078605495292,-12.132328463853582,부산,대파
2022-12-01,1720475.6,2574788040,1496.555975568616,-79.60969853717756,부산,대파
2023-01-01,1547686.9,2429831740,1569.976291716367,98.89785929717004,부산,대파
2023-02-01,1529990.7,2689332240,1757.744174523414,-88.87002350987677,부산,대파
2023-03-01,1554876.3,2774258340,1784.2308999114591,-115.356748897922,부산,대파
2023-04-01,1367718.1,1951475090,1426.8108976550063,242.0632533585308,부산,대파
2023-05-01,1368209.4,2399325220,1753.6242771026132,-84.75012608907605,부산,대파
2023-06-01,1261951.5699999998,1877987370,1488.1612057426262,180.7129452709109,부산,대파
2023-07-01,1192348.33,2211692310,1854.9045227412696,-186.03037172773247,부산,대파
2023-08-01,271195.9,511675320,1886.7369307574336,-217.86277974389645,부산,대파
2020-01-01,766068.0,753969700,984.2072766386274,273.93096879095754,대구,대파
2020-02-01,689616.5,560103600,812.1957638774594,445.9424815521255,대구,대파
2020-03-01,487140.0,347683230,713.7234265303608,544.4148188992241,대구,대파
2020-04-01,596138.0,424127350,711.4583368280499,546.679908601535,대구,대파
2020-05-01,413997.0,386009250,932.3962492481828,325.7419961814021,대구,대파
2020-06-01,378845.9,401434720,1059.625351627139,198.5128938024459,대구,대파
2020-07-01,404956.2,432844120,1068.8665095138683,189.2717359157166,대구,대파
2020-08-01,320024.0,534172850,1669.164968877334,-411.0267234477492,대구,대파
2020-09-01,466034.5,928959450,1993.3276399064875,-735.1893944769026,대구,대파
2020-10-01,395559.0,794400050,2008.2972451644384,-750.1589997348535,대구,대파
2020-11-01,386193.0,731634600,1894.479185277828,-636.3409398482427,대구,대파
2020-12-01,952808.0,1577310300,1655.433518610255,-397.29527318067016,대구,대파
2021-01-01,684282.0,1605912240,2346.857348286233,-503.1127383438152,대구,대파
2021-02-01,496666.0,1833715850,3692.050291342673,-1848.305681400256,대구,대파
2021-03-01,602776.0,2315579090,3841.525027539252,-1997.780417596834,대구,대파
2021-04-01,366270.6,1172913900,3202.315173535632,-1358.570563593214,대구,대파
2021-05-01,494350.0,859273100,1738.1877212501263,105.55688869229152,대구,대파
2021-06-01,489174.0,465965750,952.5562478790778,891.18836206334,대구,대파
2021-07-01,468621.0,344759600,735.6896084469113,1108.0550014955063,대구,대파
2021-08-01,489153.5,528176500,1079.7765936459618,763.968016296456,대구,대파
2021-09-01,478216.4,601170750,1257.1102747626387,586.6343351797791,대구,대파
2021-10-01,530416.0,607174800,1144.714337425719,699.0302725166989,대구,대파
2021-11-01,618127.0,723631450,1170.68409889877,673.0605110436479,대구,대파
2021-12-01,685752.0,748707000,1091.8043257620832,751.9402841803346,대구,대파
2022-01-01,859689.0,968763700,1126.8769287498153,204.8258387524893,대구,대파
2022-02-01,673768.5,761666750,1130.4576423504511,201.24512515185347,대구,대파
2022-03-01,768487.5,993616400,1292.9506335496674,38.75213395263722,대구,대파
2022-04-01,647111.5,600956200,928.6748883306818,403.0278791716228,대구,대파
2022-05-01,372780.0,419709950,1125.891812865497,205.8109546368076,대구,대파
2022-06-01,415000.9,546384250,1316.5856989707731,15.11706853153146,대구,대파
2022-07-01,401363.0,548981550,1367.7931199437917,-36.09035244148709,대구,대파
2022-08-01,417332.14,689491800,1652.1416251334008,-320.4388576310962,대구,대파
2022-09-01,555545.6,989229550,1780.645099160177,-448.9423316578725,대구,대파
2022-10-01,616427.0,975703100,1582.8364104752063,-251.13364297290173,대구,대파
2022-11-01,552819.0,756140600,1367.79054265501,-36.08777515270549,대구,대파
2022-12-01,774182.0,1143861500,1477.5098103546711,-145.80704285236652,대구,대파
2023-01-01,772379.0,1060876650,1373.518246871031,-29.891547446856748,대구,대파
2023-02-01,811567.0,1249216150,1539.264349092558,-195.6376496683838,대구,대파
2023-03-01,854283.1,1229514750,1439.2357170591342,-95.60901763496008,대구,대파
2023-04-01,560224.6,554785950,990.2920185939712,353.33468083020296,대구,대파
2023-05-01,494266.6,640999250,1296.869442523529,46.75725690064519,대구,대파
2023-06-01,433876.4,515281050,1187.6217512637238,156.00494816045034,대구,대파
2023-07-01,465868.0,618786550,1328.2443739428336,15.382325481340558,대구,대파
2023-08-01,128677.0,205266350,1595.2062140087196,-251.57951458454545,대구,대파
2020-01-01,1655844.4,1592782952,961.9158370194688,529.7580057203666,대전,대파
2020-02-01,1528847.0,1236327688,808.6667194297402,689.2053814950499,대전,대파
2020-03-01,1641619.0,1162323521,708.0348856829752,831.2054475953043,대전,대파
2020-04-01,1355853.0,1180578684,870.7276408283199,752.7749999965871,대전,대파
2020-05-01,1477557.0,1817564652,1230.1147448118752,345.8899640687432,대전,대파
2020-06-01,1229392.0,1766107594,1436.5699418899749,142.54420862572488,대전,대파
2020-07-01,1180906.0,1508151210,1277.1136822067124,339.11909954739235,대전,대파
2020-08-01,1145669.8,2271317308,1982.5235054637903,-97.93286084489546,대전,대파
2020-09-01,1254353.0,3414877224,2722.4212195450564,-496.8249805626699,대전,대파
2020-10-01,1141862.5,2713735789,2376.5871889128507,-737.9099013314483,대전,대파
2020-11-01,1500355.5,3596650228,2397.1986825788954,-798.3411165462046,대전,대파
2020-12-01,1512822.5,2453181000,1621.5920902815762,-279.9508600577665,대전,대파
2021-01-01,1190941.0,3591954000,3016.0637680623977,-650.9080754240972,대전,대파
2021-02-01,988353.6,4876167220,4933.6262042248845,-2448.137770558589,대전,대파
2021-03-01,1121524.0,4799955020,4279.8504713229495,-1639.1614654275422,대전,대파
2021-04-01,979397.0,3399004320,3470.50717941754,-782.0702916633768,대전,대파
2021-05-01,1139371.0,2102849930,1845.6235326333565,229.9026913055086,대전,대파
2021-06-01,1014942.0,829499370,817.2874607613046,1104.215312189281,대전,대파
2021-07-01,1003630.0,694805110,692.292089714337,1243.166394972213,대전,대파
2021-08-01,877829.0,1087301530,1238.625666274411,897.7105031298349,대전,대파
2021-09-01,1069494.0,1678678290,1569.6004746169683,733.8095532880027,대전,대파
2021-10-01,1171214.0,1492070750,1273.9522836987946,803.3639332869147,대전,대파
2021-11-01,1233110.0,1611618330,1306.9542295496751,718.7474378968861,대전,대파
2021-12-01,912642.0,948429720,1039.2133169413637,956.1770121922546,대전,대파
2022-01-01,1482963.0,1722865160,1161.7721817739216,191.88352926361927,대전,대파
2022-02-01,1158726.0,1336219160,1153.1795782609522,201.1504075467301,대전,대파
2022-03-01,1554361.0,1957716220,1259.4990610289374,61.66636992000463,대전,대파
2022-04-01,1296077.0,1332215880,1027.8832816260144,388.247137252933,대전,대파
2022-05-01,1301212.0,1946709730,1496.0742215718883,31.23655444600263,대전,대파
2022-06-01,1250724.0,1926629950,1540.4117535123655,-64.47572576889979,대전,대파
2022-07-01,1066356.5,1767281210,1657.3080484809725,-124.08554083581453,대전,대파
2022-08-01,1136312.0,2163425210,1903.9006980477195,-429.353233843887,대전,대파
2022-09-01,1263766.0,2214938100,1752.6489081048232,-275.0431145120551,대전,대파
2022-10-01,1266945.0,2125123150,1677.36022479271,-392.1202620753375,대전,대파
2022-11-01,1318143.0,1922551125,1458.5300115389605,-173.68668294159716,대전,대파
2022-12-01,1374469.0,2092317990,1522.2736853286617,-171.6325743179782,대전,대파
2023-01-01,1427365.0,2204129580,1544.1947784904353,-75.03219784454632,대전,대파
2023-02-01,1426412.0,2696565930,1890.453760904984,-239.69674993636363,대전,대파
2023-03-01,1598121.0,2715124870,1698.9482460965096,-217.5760009275729,대전,대파
2023-04-01,1340517.0,1659181930,1237.717932708052,386.2533269465014,대전,대파
2023-05-01,1451591.0,2176921770,1499.6798478359262,8.859932173397283,대전,대파
2023-06-01,1334648.0,1804786600,1352.2566249677818,117.743887480254,대전,대파
2023-07-01,1146671.0,1764007830,1538.373107892325,-76.00640633875514,대전,대파
2023-08-01,239222.0,529428850,2213.1277641688475,-695.3945539344033,대전,대파
2020-01-01,931481.0,891210180,956.7668905753312,412.7715439439412,광주,대파
2020-02-01,870570.0,694122450,797.3195148006479,572.2189197186245,광주,대파
2020-03-01,884383.0,579553380,655.3194487003934,714.218985818879,광주,대파
2020-04-01,831719.0,610273730,733.7498962991107,635.7885382201617,광주,대파
2020-05-01,725731.0,827794130,1140.6349322269546,228.90350229231785,광주,대파
2020-06-01,704524.0,946866650,1343.980687669973,25.55774684929952,광주,대파
2020-07-01,697667.0,800507160,1147.4057967483054,222.132637770967,광주,대파
2020-08-01,798235.5,1264770430,1584.4577571405932,-214.9193226213208,광주,대파
2020-09-01,989511.0,1962546520,1983.349876858368,-613.8114423390953,광주,대파
2020-10-01,709272.5,1577730430,2224.434797627146,-854.8963631078736,광주,대파
2020-11-01,724659.0,1655748720,2284.8660128419024,-915.32757832263,광주,대파
2020-12-01,840447.0,1484629250,1766.4757563534642,-396.93732183419183,광주,대파
2021-01-01,737649.0,2054593040,2785.326137499,-808.162067239638,광주,대파
2021-02-01,544171.0,2493693990,4582.555832633492,-2605.39176237413,광주,대파
2021-03-01,528553.0,1994536780,3773.579527502445,-1796.415457243083,광주,대파
2021-04-01,524546.0,1529832300,2916.48835373828,-939.3242834789176,광주,대파
2021-05-01,648341.0,1234775400,1904.5153707693944,72.64869948996784,광주,대파
2021-06-01,622935.0,641749350,1030.202749885622,946.96132037374,광주,대파
2021-07-01,546607.0,487164400,891.2516671026899,1085.9124031566723,광주,대파
2021-08-01,618902.5,765401400,1236.707558945068,740.4565113142942,광주,대파
2021-09-01,832034.0,1165353900,1400.6085087869003,576.5555614724619,광주,대파
2021-10-01,691462.0,920373350,1331.0541287879882,646.109941471374,광주,대파
2021-11-01,722718.5,1023131350,1415.6706241780169,561.4934460813454,광주,대파
2021-12-01,544518.0,641573460,1178.2410498826484,798.9230203767138,광주,대파
2022-01-01,850249.0,1073912050,1263.0559400834345,268.077611038246,광주,대파
2022-02-01,614123.0,769980700,1253.7890618003237,277.34448932135683,광주,대파
2022-03-01,839339.0,1169428450,1393.2730994270491,137.86045169463137,광주,대파
2022-04-01,718736.0,766670180,1066.6923320941207,464.4412190275598,광주,대파
2022-05-01,797927.6,1136011850,1423.7029149010511,107.43063622062937,광주,대파
2022-06-01,801139.0,1217262770,1519.4151951159536,11.718356005726946,광주,대파
2022-07-01,756172.0,1194014500,1579.0250101828683,-47.89145906118779,광주,대파
2022-08-01,787166.0,1483251150,1884.2927031909408,-353.15915206926024,광주,대파
2022-09-01,896295.0,1550574740,1729.982583859109,-198.8490327374284,광주,대파
2022-10-01,874682.0,1615589900,1847.0597314223912,-315.9261803007107,광주,대파
2022-11-01,897887.0,1462322250,1628.626152288651,-97.49260116697042,광주,대파
2022-12-01,907179.0,1475592000,1626.572043665032,-95.43849254335146,광주,대파
2023-01-01,1019589.0,1667618910,1635.5795423450038,-32.525171935085154,광주,대파
2023-02-01,919726.0,1655731300,1800.2440944368211,-197.18972402690247,광주,대파
2023-03-01,976461.0,1736268100,1778.1233454280305,-175.0689750181118,광주,대파
2023-04-01,802782.0,942702100,1174.294017553956,428.76035285596254,광주,대파
2023-05-01,867571.0,1346199000,1551.6874123270602,51.366958082858446,광주,대파
2023-06-01,862824.0,1244885450,1442.8034570202035,160.25091338971515,광주,대파
2023-07-01,764109.0,1250505450,1636.5537508392126,-33.49938042929398,광주,대파
2023-08-01,177620.0,400700400,2255.941898434861,-652.8875280249422,광주,대파
2020-01-01,14389110.3,14055905892,976.8432932229312,468.2473867168567,전국,대파
2020-02-01,13491094.8,11250455130,833.9171354722079,611.17354446758,전국,대파
2020-03-01,13818625.0,9759591923,706.263606038951,738.8270739008368,전국,대파
2020-04-01,12648813.5,10136316934,801.3650398118369,643.7256401279509,전국,대파
2020-05-01,11923255.2,14022567785,1176.0687454714548,269.02193446833303,전국,대파
2020-06-01,11521070.2,15123427673,1312.6755944078875,132.41508553190033,전국,대파
2020-07-01,11797117.599999998,14922622573,1264.938019520972,180.1526604188159,전국,대파
2020-08-01,10993803.5,21706463962,1974.42713634094,-529.3364564011522,전국,대파
2020-09-01,13193587.7,29720505924,2252.6477710077297,-807.5570910679419,전국,대파
2020-10-01,11669256.9,26763913950,2293.540555268776,-848.4498753289884,전국,대파
2020-11-01,13174665.3,29707153891,2254.8697226486656,-809.7790427088778,전국,대파
2020-12-01,14170791.0,23628200454,1667.3875476675933,-222.29686772780545,전국,대파
2021-01-01,12154872.0,35053330670,2883.891386926987,-789.668473593983,전국,대파
2021-02-01,10633521.0,46909580528,4411.481439496852,-2317.258526163848,전국,대파
2021-03-01,11534879.0,48964733592,4244.928238258936,-2150.7053249259325,전국,대파
2021-04-01,10063399.0,36174199960,3594.63039873506,-1500.4074854020564,전국,대파
2021-05-01,11521748.6,22798810020,1978.763016926093,115.45989640691027,전국,대파
2021-06-01,10961279.5,9840634830,897.7633341071177,1196.459579225886,전국,대파
2021-07-01,9823917.7,7558471630,769.394844380669,1324.828068952335,전국,대파
2021-08-01,9968404.4,11321742560,1135.7627666068604,958.4601467261434,전국,대파
2021-09-01,11260148.1,15361114145,1364.201785676336,730.0211276566679,전국,대파
2021-10-01,11946658.7,14657228400,1226.889356100882,867.3335572321218,전국,대파
2021-11-01,12474012.0,16886283436,1353.7171068939167,740.5058064390871,전국,대파
2021-12-01,9408830.5,10391237460,1104.4132913224444,989.8096220105596,전국,대파
2022-01-01,14658810.7,17341861360,1183.0333111539533,235.8372515905956,전국,대파
2022-02-01,11168417.4,12864852070,1151.895708160048,266.9748545845009,전국,대파
2022-03-01,14431587.0,19203695590,1330.671089049319,88.1994736952297,전국,대파
2022-04-01,12789181.6,12619659430,986.7448774048216,432.1256853397272,전국,대파
2022-05-01,12180948.3,15648278770,1284.651932230925,134.2186305136238,전국,대파
2022-06-01,12107661.2,16835906690,1390.5168316074123,28.35373113713649,전국,대파
2022-07-01,11866272.1,18387259670,1549.5396966331157,-130.66913388856688,전국,대파
2022-08-01,13047536.840000002,22215642640,1702.669470293674,-283.79890754912526,전국,대파
2022-09-01,12966041.999999998,21741449620,1676.7992591725372,-257.9286964279884,전국,대파
2022-10-01,13368122.6,21752426640,1627.186351507578,-208.3157887630291,전국,대파
2022-11-01,13670581.19,20571548035,1504.8042032073986,-85.93364046284978,전국,대파
2022-12-01,14536376.4,23284316290,1601.7964621499482,-182.92589940539932,전국,대파
2023-01-01,14178892.9,20594622690,1452.484537068476,54.20359402505892,전국,대파
2023-02-01,14172396.7,23912941920,1687.2899077119398,-180.60177661840493,전국,대파
2023-03-01,16338155.4,26985357980,1651.6771519996682,-144.98902090613342,전국,대파
2023-04-01,13639515.7,15459874420,1133.462122852353,373.2260082411817,전국,대파
2023-05-01,13309285.0,21356533250,1604.6341520224414,-97.9460209289066,전국,대파
2023-06-01,12489181.97,17305210870,1385.616040471544,121.0720906219908,전국,대파
2023-07-01,11657546.83,18033825320,1546.9657195449586,-40.27758845142375,전국,대파
2023-08-01,2879698.9,5008525920,1739.2533365207037,-232.56520542716885,전국,대파
