Date,서울 총거래물량,서울 총거래금액,서울 평균단가,부산 총거래물량,부산 총거래금액,부산 평균단가,대구 총거래물량,대구 총거래금액,대구 평균단가,대전 총거래물량,대전 총거래금액,대전 평균단가,광주 총거래물량,광주 총거래금액,광주 평균단가
2020-01,157006.4,1980805450,12616.080936828053,103707.2,993633138,9581.139380872302,127856.5,1634635695,12784.924466100667,87573.0,881210121,10062.577746565723,77808.5,1233254690,15849.87102951477
2020-02,235102.7,1394003080,5929.336753682539,118683.20000000001,594446452,5008.682374590506,135753.8,838678560,6177.938002472123,91610.8,482928005,5271.518259855825,48187.78,400248000,8306.006211533298
2020-03,289417.7,1515064160,5234.8704312141235,166983.4,805174621,4821.88421723357,177915.5,1041127930,5851.811281198097,116467.0,590027520,5066.048923729469,90241.81,706235650,7826.03595827699
2020-04,273459.6,1524913655,5576.376382471122,155203.9,831713121,5358.84163348988,190342.9,1189760300,6250.615599531162,111221.0,518143195,4658.681319175335,93796.5,672380550,7168.503622203387
2020-05,305696.5,1649411900,5395.5864722036395,172559.0,884118447,5123.571920328699,211994.40000000002,1268776340,5984.952149679425,124288.0,525920825,4231.469047695675,99535.8,680307730,6834.804462314061
2020-06,694627.2,2910972975,4190.698226329174,171085.40000000002,697344305,4076.001254344321,224570.9,1008215140,4489.518187797262,118488.0,431745765,3643.793168928499,138424.0,740259860,5347.771051262786
2020-07,798440.7999999999,3952823945,4950.678804239463,159648.3,822864861,5154.235034134407,203253.3,1108887220,5455.691100710296,134964.4,598117295,4431.667128516853,136111.5,811813350,5964.325938660583
2020-08,642528.0,6268052900,9755.29922431396,138651.4,1330444486,9595.608021267726,167339.36,1793883075,10720.030690926511,106356.3,952911205,8959.612218552169,117929.7,1419607670,12037.74511425027
2020-09,707305.1000000001,7081078970,10011.350080750159,136989.8,1441607296,10523.464491516888,184497.4,2093497520,11347.0299310451,117990.2,1033317247,8757.653152549958,119219.5,1521050610,12758.404539525833
2020-10,711375.1000000001,3658577130,5142.964843723093,167901.4,817073723,4866.390173042036,206461.4,1061078610,5139.355879597833,113932.0,514003080,4511.490011585858,111211.0,822654670,7397.241909523338
2020-11,642291.6,2806896950,4370.12869232604,175653.2,699907467,3984.598441702172,192026.8,908799900,4732.672210337308,113447.0,415925220,3666.2513772951247,95466.0,602382420,6309.915781534787
2020-12,612765.7999999999,4327150460,7061.670967929347,148380.3,846762470,5706.704124469354,155766.45,1084189220,6960.351346519099,111532.5,717386150,6432.081680227736,77748.5,752645650,9680.516665916384
2021-01,529454.8,4494923150,8489.72027451635,127141.6,930403050,7317.849154014107,139416.3,1357864800,9739.641634443033,90758.0,735137130,8099.9705811057975,69071.0,933340200,13512.765125740181
2021-02,602981.0,3787189400,6280.777337926071,148130.9,866824850,5851.749027380513,157382.3,1223423667,7773.57852185411,106125.0,592578625,5583.779740871613,81143.0,740530430,9126.239231973183
2021-03,773782.5,3886363500,5022.552849153348,186690.2,812319234,4351.16162498085,208004.0,1169171470,5620.908588296379,124583.0,588947205,4727.348073172102,100925.0,761042690,7540.675650235324
2021-04,700545.0,3706631650,5291.068596592653,161800.4,753192950,4655.074709333228,195049.2,1116696470,5725.204051080445,112120.0,528757585,4715.997012129861,95843.0,748219600,7806.721408970921
2021-05,706591.75,4009368795,5674.236636643436,146879.8,805970160,5487.277079625654,202268.6,1184994280,5858.518227742714,87915.3,501474635,5704.065560829571,103957.5,784992190,7551.0876079166965
2021-06,736968.0,3087086979,4188.902339043215,143236.7,600153400,4189.94154431092,207303.0,885133010,4269.7549480711805,91557.3,360452870,3936.9102190650005,129036.8,618464610,4792.932016293026
2021-07,721181.4,3249349775,4505.5928716408935,164375.59999999998,757965096,4611.177668705088,200592.3,973951490,4855.37824732056,99382.7,529549800,5328.390152410832,124130.0,696928760,5614.507049061468
2021-08,623518.0,5013723002,8041.0236785465695,147875.1,1086849648,7349.781322210432,172301.7,1408087250,8172.2191365494355,81641.0,794201860,9727.978099239353,108373.0,1049858440,9687.453886115545
2021-09,582204.6000000001,6483894800,11136.797613759834,151445.9,1373897481,9071.869763394057,166741.0,1861470430,11163.843505796414,85167.0,1121028430,13162.708913076662,96183.20000000001,1439032610,14961.371736436298
2021-10,612023.4,5138634950,8396.141307668955,151390.3,1163197156,7683.432531674751,184426.1,1580635770,8570.564415774123,86129.0,902013630,10472.821349371292,84193.0,1033074780,12270.31677217821
2021-11,562900.5,3672089500,6523.514368880468,144239.8,880278720,6102.883670110469,167458.2,1233214580,7364.312885245392,75278.0,558395435,7417.777239033981,73271.2,729093680,9950.617432224393
2021-12,375613.4,3445122250,9171.98973732034,86790.9,605332018,6974.602383429599,99266.3,948742830,9557.55205946026,55130.0,598785004,10861.327843279521,49893.6,614177830,12309.751751727677
2022-01,508763.99,5630997500,11067.995398023355,128821.5,1308202839,10155.159185384427,130374.6,1635831030,12547.160489850015,70206.0,978665035,13939.905919721961,60837.67,1004221030,16506.566244236506
2022-02,510142.0,3466577050,6795.317872278699,120925.5,724693370,5992.891242955373,137342.7,1081429970,7873.95303863984,66132.0,559565838,8461.347577572129,58768.0,631627940,10747.820922951267
2022-03,653624.7,4555431600,6969.491208028094,151119.0,993146071,6571.947081439131,186219.2,1473610450,7913.311033448753,84038.0,783304120,9320.832480544515,87984.5,945146720,10742.195727656575
2022-04,651945.9099999999,4319011800,6624.800821282858,149751.90000000002,919022501,6136.967217110433,173489.8,1288288610,7425.731138084199,85503.5,660256051,7721.976889834919,85052.3,835296880,9820.979326837722
2022-05,607596.5,4429549666,7290.2817346709535,150182.1,1046266364,6966.651578317256,183268.3,1486922400,8113.363849612836,87283.5,627014160,7183.650518139168,103876.5,979204790,9426.624790015067
2022-06,671687.31,3711323901,5525.374449905864,167538.0,859008974,5127.24858837995,187714.9,1122958710,5982.256656237731,93648.2,535885787,5722.328747375817,143722.5,938856000,6532.421854615665
2022-07,658472.6,4541778050,6897.444252046327,150522.30000000002,947516071,6294.855121134874,170875.5,1236309960,7235.150504314544,87668.4,687180816,7838.409461105713,136346.5,1029066764,7547.4380640500485
2022-08,630076.8,5840494075,9269.495520228644,151792.69999999998,1216268711,8012.695676406047,152303.8,1423323770,9345.293879732482,84730.0,886330660,10460.647468429128,110867.6,1161104256,10472.89069123892
2022-09,532310.3999999999,5940494000,11159.830805484922,145868.3,1446815687,9918.643646357708,143769.8,1683170310,11707.39828531444,82474.0,918115680,11132.183233503893,101026.7,1333424010,13198.7287519042
2022-10,722168.6,4763458400,6596.0475157740175,173810.8,1109480968,6383.268289427355,177813.7,1293960920,7277.059754113434,92278.5,716062950,7759.802662592045,109155.9,1046364300,9585.961913190218
2022-11,744165.6,3730686850,5013.248193681621,173707.19999999998,789351601,4544.150161881604,171353.40000000002,897340180,5236.780711675402,82011.0,473439600,5772.879247905768,98336.3,754179936,7669.395086046557
2022-12,618788.51,6018818650,9726.778297806466,135259.8,1040305629,7691.166399772882,133096.5,1300818280,9773.497274533891,71767.0,822951575,11466.99144453579,69865.3,897857210,12851.261069515194
2023-01,548863.5,5878598300,10710.49231730658,128951.2,1215496379,9426.018361985,132924.0,1656843350,12464.59142066143,68586.0,905273146,13199.095238095239,75771.8,1193336605,15749.086137586806
2023-02,586500.5,4894105570,8344.588913393936,136850.0,946524272,6916.5091121666055,139591.66,1206443510,8642.661818048442,65952.9,641763896,9730.639532150975,76407.1,870385640,11391.423571893187
2023-03,748846.0,4986711200,6659.194547343513,172418.49999999997,1054004689,6113.060309653548,200751.24,1433080180,7138.586939736961,85506.0,743581280,8696.24681308914,106575.0,999732480,9380.553413089374
2023-04,721651.6,5222699800,7237.148507673232,155057.0,1040388724,6709.717871492419,179873.54,1376940730,7655.048819298268,78277.0,669133255,8548.274141829655,94327.4,985230180,10444.793135398622
2023-05,804682.8999999999,5849223150,7268.9790599502,179703.3,1310172382,7290.753046827744,196127.58000000002,1597892490,8147.209535752187,95025.0,633201427,6663.524619836885,117077.7,1077152840,9200.324570776502
2023-06,842557.6,4035735554,4789.863095413299,183402.2,854189829,4657.467734847237,195256.8,987838520,5059.176018453647,100769.5,453943932,4504.775075791782,140711.01,762107620,5416.119321437604
2023-07,760869.0,5788743800,7608.068931708349,154260.69999999998,1024321538,6640.197652415684,175677.2,1275387100,7259.832806989182,88759.0,815144670,9183.797361394338,122566.7,1184959360,9667.873574143712
2023-08,345619.4,3188461050,9225.353235379725,67152.79999999999,658522312,9806.326943924902,77002.9,900516490,11694.578905469794,40832.5,436993316,10702.095536643605,57881.1,687442490,11876.80417269195
