년월,서울평균기온(℃),서울평균최저기온(℃),서울평균최고기온(℃),부산평균기온(℃),부산평균최저기온(℃),부산평균최고기온(℃),대구평균기온(℃),대구평균최저기온(℃),대구평균최고기온(℃),대전평균기온(℃),대전평균최저기온(℃),대전평균최고기온(℃),광주평균기온(℃),광주평균최저기온(℃),광주평균최고기온(℃)
2020-01,1.6,-1.7,5.9,6.4,3.1,10.9,3.8,0.1,8.4,2.7,-1.2,7.8,4.6,1.2,9.0
2020-02,2.5,-1.3,7.2,7.1,3.1,11.8,4.9,0.2,10.4,3.6,-1.2,9.3,5.3,0.8,10.6
2020-03,7.7,2.6,13.3,10.4,6.4,15.0,9.5,3.6,15.8,8.5,2.3,15.0,9.0,3.8,15.2
2020-04,11.1,6.3,16.6,12.6,8.9,17.5,12.6,6.5,19.0,11.5,5.2,18.7,11.5,6.2,18.0
2020-05,18.0,13.7,23.3,17.9,15.0,21.8,19.4,14.0,25.7,18.8,13.9,24.4,18.8,14.2,24.4
2020-06,23.9,19.9,29.0,22.4,19.5,26.6,24.5,19.3,30.5,24.1,20.0,29.0,23.6,19.6,28.8
2020-07,24.1,21.1,28.0,22.1,20.3,24.8,23.2,20.2,26.8,23.6,20.7,27.2,23.4,20.8,26.8
2020-08,26.5,24.4,29.3,27.2,24.8,30.4,28.6,24.8,33.3,27.5,24.6,31.5,27.6,24.8,31.6
2020-09,21.4,18.0,25.6,21.9,19.2,25.6,21.2,17.1,26.0,21.2,17.4,25.9,21.3,17.9,25.7
2020-10,14.3,9.6,19.5,17.3,13.8,22.2,15.4,10.1,21.3,14.2,8.9,20.6,15.7,11.2,21.2
2020-11,8.0,4.0,12.6,12.4,8.5,17.2,9.7,4.5,15.3,8.6,3.8,14.4,10.5,6.4,15.6
2020-12,-0.3,-4.2,3.9,4.3,0.5,9.3,1.6,-3.1,7.2,0.5,-3.8,6.1,2.7,-1.1,7.8
2021-01,-2.4,-6.8,2.2,3.3,-0.8,7.9,0.5,-4.3,5.9,-1.0,-6.0,4.6,1.4,-2.6,6.4
2021-02,2.7,-2.2,7.9,7.2,3.2,11.9,4.8,-0.6,11.1,4.0,-1.6,10.0,5.1,0.4,10.7
2021-03,9.0,4.3,14.8,11.4,7.7,15.9,10.2,4.7,16.1,9.6,4.0,15.9,10.6,5.6,17.0
2021-04,14.2,9.5,19.5,14.7,10.8,19.7,14.5,8.8,20.6,14.7,8.9,20.9,14.9,9.7,20.9
2021-05,17.1,12.8,21.9,17.7,14.7,21.5,18.3,12.8,24.3,17.7,12.8,23.1,18.4,13.4,24.0
2021-06,22.8,18.9,27.6,21.9,19.3,25.4,23.2,18.9,28.5,23.5,19.1,28.5,23.3,19.2,28.3
2021-07,28.1,24.6,32.2,26.3,24.0,29.5,26.9,22.9,32.1,27.8,24.0,32.3,27.0,23.6,31.4
2021-08,25.9,22.8,29.7,26.2,23.8,29.4,25.7,22.4,30.5,25.8,22.6,29.9,25.8,22.5,30.3
2021-09,22.6,18.8,26.9,22.9,20.5,26.4,22.1,18.7,26.4,22.4,18.9,26.8,22.9,19.5,27.2
2021-10,15.6,11.6,20.5,18.7,15.2,23.3,16.5,11.5,22.7,15.7,10.8,21.9,17.2,12.8,22.7
2021-11,8.2,4.0,13.1,12.5,8.6,17.4,9.5,4.4,15.7,8.9,4.0,14.9,10.2,5.8,15.8
2021-12,0.6,-3.5,5.1,6.0,1.9,10.8,3.1,-2.1,8.9,1.9,-3.0,7.6,4.1,0.0,9.4
2022-01,-2.2,-6.2,2.6,4.0,0.0,9.2,0.9,-4.1,6.8,-0.8,-5.9,5.2,1.6,-2.3,6.7
2022-02,-1.1,-5.3,3.8,3.6,-0.5,8.8,1.6,-3.4,7.4,0.1,-5.2,6.1,1.8,-2.4,7.2
2022-03,7.7,3.2,12.7,10.5,6.8,14.8,9.7,3.8,15.9,8.3,2.5,14.5,9.6,4.5,15.6
2022-04,14.8,10.0,20.6,14.9,11.4,19.1,15.9,9.4,22.7,14.9,8.3,21.9,15.5,9.8,22.6
2022-05,19.1,13.9,25.0,19.0,15.3,23.4,20.7,14.1,27.4,19.4,12.7,26.3,19.3,13.8,26.1
2022-06,23.3,19.8,27.5,21.7,19.4,24.9,24.3,19.8,29.7,24.1,19.8,29.4,23.8,20.1,29.0
2022-07,27.3,24.2,31.0,26.2,23.7,29.7,27.5,23.7,32.4,27.0,23.4,31.5,27.0,23.8,31.1
2022-08,25.7,23.1,28.9,26.4,24.0,29.7,26.9,23.4,31.4,25.7,22.7,29.6,26.9,24.1,30.6
2022-09,22.4,18.2,27.2,22.9,20.2,26.9,21.9,17.7,26.8,21.8,17.4,27.5,23.1,19.1,28.0
2022-10,14.6,10.3,19.7,17.6,14.0,22.7,15.5,10.1,21.6,14.3,9.1,20.7,16.0,11.4,21.6
2022-11,10.0,5.6,15.4,14.4,10.4,19.8,11.0,5.2,17.7,9.5,3.8,16.6,11.8,6.8,18.1
2022-12,-2.8,-6.6,1.7,3.3,-0.3,8.1,0.4,-4.0,5.4,-2.0,-6.4,3.3,1.1,-2.6,5.5
2023-01,-1.5,-5.7,3.2,3.8,-0.2,8.9,0.9,-4.3,6.7,-0.9,-5.9,5.3,1.7,-2.5,6.7
2023-02,2.3,-1.9,7.3,6.8,2.9,11.8,4.4,-0.7,10.4,2.4,-2.9,8.8,4.2,-0.5,10.1
2023-03,9.8,4.2,16.2,12.3,8.5,17.0,11.8,5.4,18.8,10.2,3.0,17.8,11.2,5.1,18.2
2023-04,13.8,8.8,19.0,14.6,11.0,19.0,14.8,8.8,20.9,13.7,7.6,19.9,14.7,9.4,20.8
2023-05,19.5,14.6,25.0,17.9,14.9,21.6,19.3,13.8,25.1,19.0,13.2,25.0,19.4,14.9,25.0
2023-06,23.4,19.7,27.9,22.5,19.9,26.0,24.0,19.3,29.6,23.6,18.9,29.2,23.4,19.5,28.8
2023-07,26.7,23.9,30.2,25.5,23.3,28.5,26.7,23.1,31.1,25.8,22.6,30.2,26.3,23.4,30.3
